"station_european_code","year","gwr","obs","nfold"
"AT30101","2010",30.341235221537,26.009,4
"AT60180","2010",21.1619070597922,19.567,4
"AT60195","2010",19.290938638846,16.343,4
"AT10001","2010",23.7356027715935,20.133,4
"AT4S165","2010",25.9417799376517,53.113,4
"AT60170","2010",31.5208473425513,34.913,4
"AT72315","2010",31.9131281456596,41.056,4
"AT72123","2010",10.6399402721841,4.48,4
"AT60136","2010",21.2954591707918,24.053,4
"AT32604","2010",16.5941536914088,15.925,4
"AT2KA11","2010",35.4788948059557,26.761,4
"AT2F202","2010",11.4619156762396,15.176,4
"AT60185","2010",11.1206457639793,10.51,4
"AT32501","2010",23.1269462697746,22.361,4
"AT4S415","2010",52.133119156694,35.647,4
"AT31401","2010",29.1986912018885,19.652,4
"AT60193","2010",16.9663223900836,17.471,4
"AT31502","2010",11.6874411087494,6.157,4
"AT30065","2010",23.4840385960055,23.596,4
"AT32302","2010",29.1432264921015,40.578,4
"AT30902","2010",25.8712971477436,29.777,4
"AT60135","2010",19.8182713014903,25.676,4
"AT31904","2010",15.2219279366726,12.484,4
"AT31901","2010",28.4190544426164,19.209,4
"AT4S406","2010",42.1390534782277,30.269,4
"AT90AKC","2010",39.7943222005519,29.568,4
"AT90LAA","2010",34.4472807606398,32.261,4
"AT9RINN","2010",35.6933886859615,42.004,4
"AT32401","2010",23.5684251283628,18.56,4
"AT30403","2010",15.4372548689288,15.401,4
"AT55018","2010",18.850715276382,32.993,4
"BETB011","2010",40.8968548246759,29.793,4
"BETR001","2010",50.0083715816289,42.885,4
"BETR012","2010",37.1736428465364,27.626,4
"BETR020","2010",34.8935337430318,33.899,4
"BETR811","2010",41.5524896938525,33.597,4
"BETN121","2010",10.9452830643825,10.379,4
"BETR201","2010",36.2978903156531,29.723,4
"BETM702","2010",22.4546564931142,26.502,4
"BETN029","2010",13.7889575122185,15.834,4
"BETR701","2010",37.6177530269283,35.121,4
"BETR502","2010",37.8428461960715,29.057,4
"BETE701","2010",24.8005920468362,22.917,4
"BETE702","2010",21.8371144376925,19.162,4
"BETE716","2010",30.4026489051007,25.651,4
"BETE804","2010",25.5857259243747,32.141,4
"BETE812","2010",30.5234002370999,20.99,4
"CH0051A","2010",13.4637850026954,13.939,4
"CH0029A","2010",36.4362986605036,64.115,4
"CH0017A","2010",33.0680415029836,29.749,4
"CH0022A","2010",18.6967042907514,25.216,4
"CH0028A","2010",40.8311353627501,39.209,4
"CH0021A","2010",42.5751815524335,44.087,4
"DEBW029","2010",25.0652263948022,22.466,4
"DEBY110","2010",36.7030786600647,54.282,4
"DEBE051","2010",20.4690756032771,14.036,4
"DEBE056","2010",17.5037407089361,13.493,4
"DEBE034","2010",36.8833009426077,28.388,4
"DEBE010","2010",41.2535353819698,27.995,4
"DEHE032","2010",21.0019635330913,17.949,4
"DESL019","2010",12.6466613226015,11.793,4
"DEBB049","2010",24.5579196797641,43.393,4
"DENI011","2010",17.309679196044,16.1,4
"DENI075","2010",39.4879748575957,51.231,4
"DEHB001","2010",31.1940425342724,19.86,4
