"rf","obs","res","station_european_code","country_code","component_code","component_caption","year","airid","country_is","type_of_st","alt10_enh","NO2_2010","Xcoord","Ycoord","clc10_100p","clc10_10p","clc10_12p","clc10_15p","clc10_18p","clc10_1p","clc10_20p","clc10_25p","clc10_2p","clc10_30p","clc10_35p","clc10_3p","clc10_40p","clc10_4p","clc10_50p","clc10_5p","clc10_60p","clc10_6p","clc10_70p","clc10_7p","clc10_80p","clc10_8p","clc10p","clc14_100p","clc14_10p","clc14_12p","clc14_15p","clc14_18p","clc14_1p","clc14_20p","clc14_25p","clc14_2p","clc14_30p","clc14_35p","clc14_3p","clc14_40p","clc14_4p","clc14_50p","clc14_5p","clc14_60p","clc14_6p","clc14_70p","clc14_7p","clc14_80p","clc14_8p","clc14p","clc3_100p","clc3_10p","clc3_12p","clc3_15p","clc3_18p","clc3_1p","clc3_20p","clc3_25p","clc3_2p","clc3_30p","clc3_35p","clc3_3p","clc3_40p","clc3_4p","clc3_50p","clc3_5p","clc3_60p","clc3_6p","clc3_70p","clc3_7p","clc3_80p","clc3_8p","clc3p","clc5_100p","clc5_10p","clc5_12p","clc5_15p","clc5_18p","clc5_1p","clc5_20p","clc5_25p","clc5_2p","clc5_30p","clc5_35p","clc5_3p","clc5_40p","clc5_4p","clc5_50p","clc5_5p","clc5_60p","clc5_6p","clc5_70p","clc5_7p","clc5_80p","clc5_8p","clc5p","clc7_10p","clc7_1p","clc7_2p","clc7_3p","clc7_4p","clc7_5p","clc7_6p","clc7_7p","clc7_8p","clc7p","MAJRDS_EU_100p","MAJRDS_EU_10p","MAJRDS_EU_1p","MAJRDS_EU_20p","MAJRDS_EU_2p","MAJRDS_EU_3p","MAJRDS_EU_4p","MAJRDS_EU_50p","MAJRDS_EU_5p","MAJRDS_EU_7p","MAJRDS_EUp","ROADS_EU_100p","ROADS_EU_10p","ROADS_EU_1p","ROADS_EU_20p","ROADS_EU_2p","ROADS_EU_3p","ROADS_EU_4p","ROADS_EU_50p","ROADS_EU_5p","ROADS_EU_7p","ROADS_EUp","no2_10MACC","no2_10SAT","XY","RES","RES_1","RES_2","RES_3","RES_4","RES_5","RES_6","RES_7","RES_8","RES_10","RES_12","RES_15","RES_18","RES_20","RES_25","RES_30","RES_35","RES_40","RES_50","RES_60","RES_70","RES_80","RES_100","REGION","strata_run5","pop2011","DEHM_NO2_2010","PREDNO2LURFULL","climate_zone","zone.name","zoneID","index","nfold","x_trun","y_trun","alt_t","df_type"
46.2234392333334,60.555,14.3315607666666,"AT4S165","AT",8,"NO2","2006",37,"AT","Traffic",278,53.113,4651989.692,2798142.343,4343,17,51,128,222,0,290,458,0,638,757,0,915,0,1436,0,2010,0,2644,0,3218,0,0,-4939,-28,-31,-36,-42,-3,-48,-80,-7,-112,-237,-10,-489,-12,-1206,-15,-1798,-17,-2495,-20,-3119,-23,0,568,0,6,27,63,0,76,80,0,80,85,0,142,0,394,0,465,0,517,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125073,4148,200,17442,528,1001,1404,59538,1811,2626,0,503398,6070,200,29539,528,1001,1471,146308,2394,3921,0,20.03948975,2.011896133,1.3e+13,0,0,0,0,0,0,0,0,0,17,45,101,159,214,345,502,588,642,806,1273,1811,2339,3240,3,1,197,9.278928629,27.35674,6,"Continental",3,12,1,0.693497457552319,0.36712192998811,-0.383721846882913,"train"
12.5914068666667,13.321,0.729593133333335,"AT0ENK1","AT",8,"NO2","2006",38,"AT","Background",525,13.297,4592865.614,2815451.434,982,0,1,14,32,0,44,59,0,59,59,0,69,0,191,0,385,0,440,0,538,0,0,-6975,-77,-93,-141,-209,0,-282,-538,-1,-808,-1122,-6,-1315,-13,-1968,-24,-2982,-36,-3766,-48,-4682,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40962,0,0,0,0,0,0,9197,0,0,0,429749,4500,146,16993,421,999,1608,105753,2262,3098,0,13.86670589,1.72309649,1.29e+13,0,0,0,0,0,0,0,0,0,0,1,14,32,44,59,59,59,69,191,385,440,538,982,3,2,63,8.497094784,17.27724,6,"Continental",3,13,3,0.672923170723533,0.372277989703904,-0.525123245035474,"train"
9.90734129999999,9.736,-0.171341299999991,"AT30202","AT",8,"NO2","2006",44,"AT","Background",572,9.992,4761515.137,2794612.767,1636,0,0,0,0,0,0,12,0,79,124,0,143,0,184,0,338,0,546,0,804,0,0,-19325,-163,-244,-428,-635,-1,-791,-1247,-4,-1787,-2526,-10,-3413,-18,-5513,-34,-7737,-51,-10040,-73,-12780,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80593,0,0,0,0,0,0,8903,0,0,0,278071,3004,0,5716,0,264,504,51933,909,1588,0,11.15869331,1.760788322,1.33e+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,79,124,143,184,338,513,771,1603,3,3,13,8.004893895,12.24011,6,"Continental",3,15,3,0.731610659427204,0.366070534243098,-0.547912508111711,"train"
46.7690189666668,54.629,7.85998103333323,"AT60164","AT",8,"NO2","2006",50,"AT","Traffic",359,51.298,4732553.366,2675269.95,11705,286,407,675,969,5,1213,1880,13,2513,3214,29,4008,49,5584,81,7151,111,8455,141,9607,179,1,-10875,0,0,0,0,0,0,-2,0,-86,-325,0,-638,0,-1438,0,-2490,0,-4044,0,-6166,0,0,780,40,60,81,115,0,136,215,0,294,369,0,466,0,577,0,703,4,768,10,768,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216272,6625,255,14422,656,982,1103,97940,1457,2287,0,602377,13497,452,50291,1301,2055,2489,236458,3801,5847,0,14.37754822,1.46155405,1.27e+13,1,5,13,29,49,81,107,131,163,246,347,594,854,1073,1623,2125,2742,3427,4889,6261,7361,8373,10238,3,1,1730,5.922247132,34.71184,6,"Continental",3,17,3,0.721532400217417,0.330520505006838,-0.435185082684905,"train"
30.0080119333334,30.224,0.215988066666625,"AT60138","AT",8,"NO2","2006",54,"AT","Background",359,24.359,4731966.115,2679683.868,10424,300,405,624,825,5,996,1424,13,1865,2358,29,2864,49,3976,81,5310,112,6749,146,8197,192,1,-13036,-12,-18,-36,-86,0,-134,-330,0,-633,-1054,0,-1550,0,-2621,0,-3968,-1,-5642,-3,-7698,-5,0,837,47,56,76,94,0,102,116,0,140,165,0,221,0,241,2,260,10,395,21,604,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,182886,6872,0,18702,0,0,0,70660,725,3393,0,528952,12969,143,41652,390,698,968,188396,2237,6331,0,14.37754822,1.46155405,1.27e+13,1,5,13,29,49,79,102,125,161,242,331,523,701,858,1258,1664,2118,2553,3618,4882,6160,7388,9367,3,3,3939,5.922247132,28.19505,6,"Continental",3,18,3,0.721328045732355,0.33183532996146,-0.435185082684905,"train"
35.3303886333334,38.683,3.3526113666666,"AT60170","AT",8,"NO2","2006",60,"AT","Background",340,34.913,4733902.633,2673852.502,11882,280,373,590,853,5,1094,1755,13,2515,3386,29,4228,49,5989,81,7553,112,8940,146,9967,189,1,-10369,0,0,0,0,0,0,0,0,-9,-35,0,-130,0,-709,0,-1819,0,-3510,0,-5626,0,0,812,22,32,61,109,0,155,236,0,302,442,0,559,0,687,0,727,0,748,2,768,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224733,3676,0,27237,0,0,233,116462,1638,2405,0,611184,8102,100,50665,409,875,1620,252824,3575,5210,0,14.37754822,1.46155405,1.27e+13,1,5,13,29,49,81,112,144,182,258,341,523,707,888,1455,2149,2880,3593,5059,6437,7713,8605,10423,3,2,1457,5.922247132,29.81547,6,"Continental",3,19,2,0.722001924769946,0.330098273329159,-0.423675017308506,"train"
31.8331374333333,33.761,1.92786256666668,"AT60139","AT",8,"NO2","2006",62,"AT","Background",365,31.434,4731409.973,2676764.886,11444,313,423,653,889,5,1073,1553,13,2084,2698,29,3389,49,4713,81,6120,113,7732,149,9172,197,1,-11343,0,-2,-22,-86,0,-150,-372,0,-653,-937,0,-1221,0,-1985,0,-3414,0,-4909,0,-6642,0,0,838,84,102,126,147,1,152,181,3,201,254,5,328,10,430,17,543,23,658,33,743,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207378,0,0,12670,0,0,0,93361,0,0,0,585007,8789,100,44191,400,833,1517,226802,2769,5111,0,14.37754822,1.46155405,1.27e+13,1,4,10,24,39,64,90,116,148,219,305,498,706,878,1319,1829,2390,2983,4150,5425,6890,8146,10074,3,3,6104,5.922247132,27.71244,6,"Continental",3,20,1,0.721134516709788,0.330965818933912,-0.438757113185014,"train"
15.1792139666667,15.877,0.697786033333308,"AT30407","AT",8,"NO2","2006",65,"AT","Background",148,15.668,4813484.064,2813615.287,4339,20,31,54,71,0,76,81,0,122,176,0,289,0,616,0,1050,2,1536,5,2258,9,0,-2138,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,0,-186,0,-347,0,-619,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28692,0,0,0,0,0,0,0,0,0,0,233264,3070,100,11330,300,500,700,61781,900,1382,0,14.78684521,2.408903599,1.35e+13,0,0,0,0,0,0,2,5,9,20,31,45,45,45,50,91,145,228,410,613,969,1651,3591,3,5,0,10.37765248,17.5356,8,"Continental",3,21,3,0.749695061695299,0.371731035298328,-0.282142833621547,"train"
7.13661076666667,5.253,-1.88361076666667,"AT4S108","AT",8,"NO2","2006",68,"AT","Background",902,7.374,4658755.875,2834665.523,1222,29,29,29,29,1,29,29,3,81,191,6,244,9,303,12,564,15,935,18,1066,20,0,-15701,-107,-165,-270,-437,0,-579,-959,0,-1321,-1706,0,-2181,-6,-3564,-15,-4981,-26,-6526,-35,-8965,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41036,1975,0,4211,0,0,310,11440,584,1135,0,276778,3144,0,10973,0,0,310,82210,663,1471,0,9.504070282,1.20337534,1.32e+13,0,1,3,6,9,12,15,18,20,29,29,29,29,29,29,81,191,244,303,564,935,1066,1222,3,3,115,5.621019781,13.56247,5,"Alpine",1,22,2,0.695851987119411,0.378001513271293,-0.686952885130544,"train"
17.0035797,15.087,-1.91657970000002,"AT30401","AT",8,"NO2","2006",69,"AT","Background",164,15.519,4819440.585,2825106.157,3404,113,141,207,256,2,271,294,6,384,461,11,605,18,960,29,1419,41,1599,56,1995,76,0,-4138,0,0,-3,-16,0,-23,-50,0,-108,-200,0,-391,0,-884,0,-1321,0,-1727,0,-2333,0,0,56,0,0,17,39,0,53,56,0,56,56,0,56,0,56,0,56,0,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39604,1905,0,5723,0,61,303,15301,808,1195,0,208225,4408,0,15435,0,61,343,66923,1037,2423,0,13.44308186,2.258357763,1.36e+13,0,2,6,11,18,29,41,56,76,113,141,190,217,218,238,328,405,549,836,1233,1398,1754,2702,3,2,2212,9.691929587,18.94517,8,"Continental",3,23,4,0.75176784110601,0.375153954035448,-0.296528650175004,"train"
16.6427263666667,16.089,-0.55372636666667,"AT30301","AT",8,"NO2","2006",72,"AT","Background",173,16.125,4838405.816,2805556.791,3764,65,82,131,160,1,175,205,3,240,339,10,487,16,644,26,757,35,1070,43,1917,49,0,-7953,-38,-84,-187,-326,0,-449,-794,0,-1220,-1717,0,-2201,0,-3452,0,-4994,-1,-5940,-3,-6576,-8,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,-1,-5,0,58228,1913,0,4051,0,211,704,14016,907,1313,0,145748,2995,0,7999,0,211,704,30845,907,1815,0,14.63108921,2.45486474,1.36e+13,0,1,3,10,16,26,35,43,49,65,82,131,160,175,205,240,315,401,547,660,973,1806,3233,3,3,459,9.276863815,18.63935,8,"Continental",3,25,1,0.758367455266051,0.369330557618969,-0.304321972001826,"train"
57.9593604666666,57.602,-0.357360466666606,"AT52300","AT",8,"NO2","2006",75,"AT","Traffic",449,53.515,4554388.625,2735736.285,2169,202,258,380,489,5,571,730,12,845,952,23,986,37,1091,62,1262,89,1474,116,1714,144,1,-18884,-24,-47,-90,-172,0,-269,-544,0,-896,-1279,0,-1797,0,-3178,0,-5146,0,-7866,0,-11057,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105148,7138,510,15189,642,1137,1992,37274,3698,5087,28,332361,13163,758,38310,1036,1884,3160,126023,5418,8704,43,9.527626991,1.05483067,1.25e+13,1,5,12,23,37,62,89,116,144,202,258,380,489,571,730,845,952,986,1086,1225,1436,1676,2131,3,1,1554,6.024721112,32.13277,6,"Continental",3,26,4,0.659533759255771,0.348532313602402,-0.486016747526431,"train"
46.0740653000001,49.918,3.84393469999993,"AT52000","AT",8,"NO2","2006",76,"AT","Traffic",446,47.917,4553967.487,2734822.442,2055,249,316,431,497,5,540,631,12,755,867,27,971,43,1071,70,1252,98,1410,129,1684,167,1,-19062,-18,-51,-139,-238,0,-339,-606,0,-883,-1376,0,-2023,0,-3407,0,-5357,0,-8013,0,-11232,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107012,5455,363,14365,793,1389,1646,38702,2000,2627,2,327250,12630,363,36915,963,1827,2427,129568,3208,6043,2,9.527626991,1.05483067,1.25e+13,1,5,12,27,43,70,98,129,167,249,316,431,497,540,631,755,867,971,1069,1220,1372,1646,2017,3,4,4166,6.024721112,29.6941,6,"Continental",3,27,4,0.65938720958769,0.348260096587721,-0.484408303796168,"train"
