"station_european_code","year","gwr","obs","nfold"
"AT30101","2010",30.649619660847,26.009,4
"AT60180","2010",22.0359199430672,19.567,4
"AT60195","2010",21.9592038984397,16.343,4
"AT10001","2010",24.6410458996379,20.133,4
"AT4S165","2010",28.2143870204898,53.113,4
"AT60170","2010",33.1519621034895,34.913,4
"AT72315","2010",35.9264322581707,41.056,4
"AT72123","2010",13.588056467627,4.48,4
"AT60136","2010",23.9438950878633,24.053,4
"AT32604","2010",17.5808746891696,15.925,4
"AT2KA11","2010",39.1525417060332,26.761,4
"AT2F202","2010",13.9292600922567,15.176,4
"AT60185","2010",13.0143094739405,10.51,4
"AT32501","2010",22.5024091934402,22.361,4
"AT4S415","2010",60.5597956727468,35.647,4
"AT31401","2010",27.180832006262,19.652,4
"AT60193","2010",18.284282646273,17.471,4
"AT31502","2010",13.1861626127156,6.157,4
"AT30065","2010",25.1344052168501,23.596,4
"AT32302","2010",28.495452156034,40.578,4
"AT30902","2010",25.1997839108135,29.777,4
"AT60135","2010",22.826530162943,25.676,4
"AT31904","2010",16.1856452282578,12.484,4
"AT31901","2010",29.2218339676632,19.209,4
"AT4S406","2010",45.8069012918662,30.269,4
"AT90AKC","2010",33.1632726772285,29.568,4
"AT90LAA","2010",30.1104580593791,32.261,4
"AT9RINN","2010",31.3453387404029,42.004,4
"AT32401","2010",23.0737465179173,18.56,4
"AT30403","2010",15.4295620861414,15.401,4
"AT55018","2010",24.1529658076241,32.993,4
"BETB011","2010",37.1045854594797,29.793,4
"BETR001","2010",44.1730082184523,42.885,4
"BETR012","2010",31.910072410644,27.626,4
"BETR020","2010",34.8473650682329,33.899,4
"BETR811","2010",39.5144540660312,33.597,4
"BETN121","2010",10.1210685686565,10.379,4
"BETR201","2010",34.5174129710942,29.723,4
"BETM702","2010",23.5903378298895,26.502,4
"BETN029","2010",15.3161457630261,15.834,4
"BETR701","2010",33.5235642749375,35.121,4
"BETR502","2010",32.9995598043344,29.057,4
"BETE701","2010",23.4120989268888,22.917,4
"BETE702","2010",21.683798088753,19.162,4
"BETE716","2010",27.8411876116751,25.651,4
"BETE804","2010",28.8941063190408,32.141,4
"BETE812","2010",29.5988280518047,20.99,4
"CH0051A","2010",16.1665562153171,13.939,4
"CH0029A","2010",38.0982159195205,64.115,4
"CH0017A","2010",33.5280667998735,29.749,4
"CH0022A","2010",23.900049943914,25.216,4
"CH0028A","2010",38.981333996789,39.209,4
"CH0021A","2010",44.1508189461124,44.087,4
"DEBW029","2010",27.960096940159,22.466,4
"DEBY110","2010",41.4207167473407,54.282,4
"DEBE051","2010",20.4690756032771,14.036,4
"DEBE056","2010",17.2917987382756,13.493,4
"DEBE034","2010",37.718503876224,28.388,4
"DEBE010","2010",43.3790043416827,27.995,4
"DEHE032","2010",21.7298210737461,17.949,4
"DESL019","2010",12.2437067903247,11.793,4
"DEBB049","2010",23.1418491109571,43.393,4
"DENI011","2010",18.0432811174223,16.1,4
"DENI075","2010",40.2397855824885,51.231,4
"DEHB001","2010",31.7481616036367,19.86,4
"DEHB004","2010",39.7709419571018,22.143,4
"DESN011","2010",34.4881213607872,26.746,4
"DEHB011","2010",43.0054209207843,46.617,4
"DEHE040","2010",39.9355607709286,65.402,4
"DEST091","2010",38.5641458376769,26.066,4
"DESN061","2010",53.4862790175402,39.456,4
"DESN092","2010",38.6337406366864,23.228,4
"DENW034","2010",32.6519632709897,29.108,4
"DENW082","2010",49.8317673560546,67.304,4
"DEBB007","2010",19.7331593045964,17.299,4
"DEBB045","2010",32.6046843302004,36.383,4
"DEHE058","2010",33.8506131670762,27.704,4
"DEHE028","2010",11.9504220284689,11.496,4
"DEBY081","2010",12.5744025160168,11.406,4
"DEMV019","2010",20.6108190768281,11.201,4
"DENW133","2010",44.733083750222,63.313,4
"DEHH047","2010",31.9028556590843,17.599,4
"DEBB053","2010",8.31723174063172,9.136,4
"DERP014","2010",9.29678555019935,10.298,4
"DEBY021","2010",30.8263071840056,32.12,4
"DENW284","2010",32.6853764845243,35.187,4
"DENI031","2010",12.6765248534889,11.574,4
"DEBW081","2010",38.9518705701628,25.464,4
"DEBY004","2010",21.3157738758295,18.444,4
"DEBB082","2010",18.4590935842015,19.074,4
"DEBY033","2010",32.3731390820583,29.26,4
"DEST090","2010",19.2021706303572,16.391,4
"DEMV012","2010",7.35156301407412,7.96,4
"DEST103","2010",31.1173380130511,39.329,4
"DEST076","2010",64.4466867502474,45.649,4
"DEST099","2010",44.695063725395,43.411,4
"DERP010","2010",51.2016155091533,60.927,4
"DERP011","2010",42.3807636953303,45.324,4
"DEBW006","2010",43.1787699224956,32.7,4
"DENW260","2010",44.2863279456848,46.544,4
"DENW095","2010",32.032583717423,23.809,4
"DEBY047","2010",21.31453307818,17.689,4
