"station_european_code","year","gwr","obs","nfold"
"AT82708","2010",23.7310657698849,24.821,5
"AT80807","2010",38.8661984152623,34.545,5
"AT0ENK1","2010",19.8079626179274,13.297,5
"AT81919","2010",33.1917572349278,56.615,5
"AT60191","2010",23.1347449401099,20.11,5
"AT60138","2010",29.0647017696804,24.359,5
"AT60171","2010",29.3319731879806,32.876,5
"AT53055","2010",18.4202704659252,10.619,5
"AT60137","2010",13.2815179059704,7.197,5
"AT0ILL1","2010",10.4973567012404,10.8,5
"AT10003","2010",14.9088235995962,16.151,5
"AT30599","2010",20.73935556318,30.028,5
"AT72552","2010",27.0729083902762,30.046,5
"AT72550","2010",30.0456603465909,56.331,5
"AT60197","2010",28.3799885035678,24.799,5
"AT72910","2010",29.4083269116971,40.119,5
"AT80706","2010",25.2616897926967,22.808,5
"AT60194","2010",14.2174989803987,19.802,5
"AT10002","2010",21.6971836346475,11.348,5
"AT0PIL1","2010",11.8962998648772,10.165,5
"AT51200","2010",35.6445787874135,27.292,5
"AT51000","2010",39.8828561497265,58.652,5
"AT2WO35","2010",20.9185961487148,12.044,5
"AT4S409","2010",22.400129749512,19.802,5
"AT31906","2010",15.5461204516517,9.248,5
"AT2VI12","2010",30.6792453671364,33.201,5
"AT60181","2010",24.2225511230322,24.356,5
"AT9KEND","2010",29.5153150698054,31.345,5
"AT9LIES","2010",33.1760277537729,29.663,5
"AT90LOB","2010",15.3632761482717,16.678,5
"BELOB01","2010",22.2831775108512,27.773,5
"BETB005","2010",41.2631557317355,40.487,5
"BETR002","2010",37.3050956433205,53.747,5
"BETN035","2010",26.7271780954363,22.377,5
"BETR815","2010",35.7220490914055,36.318,5
"BETR894","2010",31.1305484947381,38.914,5
"BETN063","2010",22.7199737922617,23.002,5
"BETN093","2010",15.3922000298379,15.896,5
"BETR222","2010",30.3168460339121,30.461,5
"BETN012","2010",20.2631116062598,18.768,5
"BETR710","2010",24.0089366353042,28.267,5
"BETR721","2010",27.1559985442461,30.524,5
"BETR750","2010",29.6184560089454,31.266,5
"BETE714","2010",21.6792699146839,19.404,5
"BETE715","2010",20.5155439567066,19.715,5
"CH0008A","2010",30.2339243079165,23.579,5
"CH0004R","2010",12.5594574955595,6.814,5
"CH0005A","2010",33.6606058211511,28.224,5
"CH0048A","2010",36.0201855882521,35.542,5
"CH0041A","2010",25.7707529021269,25.017,5
"CH0019A","2010",14.8459910678893,9.916,5
"CH0014A","2010",33.2857927412133,26.172,5
"DENW207","2010",36.7341880609413,56.131,5
"DETH011","2010",31.0905144772524,18.453,5
"DEBY002","2010",20.5678159809228,21.501,5
"DEST095","2010",19.8011731034527,30.519,5
"DEBY007","2010",39.9090653685209,40.318,5
"DEBY099","2010",22.1573024840428,23,5
"DEBE032","2010",12.8756511109648,15.384,5
"DEBE066","2010",23.6357669937241,21.587,5
"DEBE069","2010",41.0702825105521,49.981,5
"DEBY079","2010",17.7697441663431,20.592,5
"DENW186","2010",34.3282820206545,38.674,5
"DENW067","2010",31.4583034980047,26.932,5
"DEST039","2010",7.12305927182308,5.18,5
"DESH011","2010",19.9958523202673,15.189,5
"DEST002","2010",22.8261869337692,16.555,5
"DENW002","2010",31.5250784046447,21.707,5
"DENW224","2010",40.8986595176794,38.181,5
"DEST104","2010",10.1645250273584,11.386,5
"DENW008","2010",35.1695996708663,32.673,5
"DENW071","2010",31.4668054286803,30.078,5
"DEBB060","2010",20.6893938787603,27.621,5
"DENW134","2010",42.1138441901812,53.816,5
"DENW247","2010",44.9272670497599,37.532,5
"DESH022","2010",32.8964920506568,34.875,5
"DERP026","2010",37.3229650997741,37.207,5
"DEHE041","2010",52.0507208532534,56.19,5
"DEHE008","2010",38.3282574609133,34.898,5
"DESN017","2010",31.6923388443309,26.804,5
"DEBW122","2010",27.7131556532342,69.836,5
"DENW022","2010",38.4610912445407,29.763,5
"DESN019","2010",25.0983995601632,26.038,5
"DENW180","2010",24.8078475218155,23.837,5
"DETH040","2010",12.2733143822077,6.844,5
"DENI042","2010",23.307432081344,15.808,5
"DENI068","2010",32.8333569707998,40.593,5
"DEST075","2010",46.0531428403388,34.983,5
"DEHH016","2010",19.6471193637804,26.087,5
