"","station_european_code","year","gwr","obs","nfold"
"1","AT30201",2010,19.4111180424314,17.253,1
"2","AT31406",2010,18.7523771113232,30.156,1
"3","AT4S156",2010,26.4374203012218,22.666,1
"4","AT60198",2010,24.7804155393368,22.445,1
"5","AT60164",2010,37.9555903861001,51.298,1
"6","AT60139",2010,27.7718728127068,31.434,1
"7","AT72223",2010,94.0157449363896,50.316,1
"8","AT30301",2010,17.014526280732,16.125,1
"9","AT72227",2010,25.7868295889926,40.234,1
"10","AT52000",2010,36.7801725619727,47.917,1
"11","AT52100",2010,18.345013847795,15.283,1
"12","AT60179",2010,26.3759321833147,20.515,1
"13","AT72110",2010,39.0014334624694,43.617,1
"14","AT60119",2010,19.4264640946514,19.639,1
"15","AT72538",2010,19.6485908190122,24.807,1
"16","AT60142",2010,21.0180029113523,20.728,1
"17","AT60141",2010,17.9527770568583,27.502,1
"18","AT72912",2010,18.1386916330927,14.191,1
"19","AT4S431",2010,44.9833548570253,48.324,1
"20","AT60156",2010,10.0973961744639,4.369,1
"21","AT2SP10",2010,15.8028493367971,12.736,1
"22","AT32701",2010,28.1859800483147,23.963,1
"23","AT2SP18",2010,31.5960795334469,24.835,1
"24","AT4S407",2010,23.9955359310561,18.214,1
"25","AT90FLO",2010,37.680082412319,31.753,1
"26","AT90MBA",2010,34.4698459918953,57.802,1
"27","AT900ZA",2010,31.944175762033,23.809,1
"28","AT72530",2010,27.7764793620309,31.857,1
"29","AT60114",2010,18.9039755024512,20.65,1
"30","BELGK09",2010,23.4379779515975,28.074,1
"31","BELML01",2010,35.7403217015253,33.425,1
"32","BELSZ02",2010,27.8241713021764,27.716,1
"33","BETWOL1",2010,61.4892085818378,39.285,1
"34","BETM802",2010,41.4987397502772,43.954,1
"35","BETN016",2010,22.4439899366875,22.659,1
"36","BETN046",2010,28.6291122821593,22.887,1
"37","BETR010",2010,36.45803253319,30.937,1
"38","BETR821",2010,30.6445892883255,30.22,1
"39","BETR831",2010,33.8529003654198,33.874,1
"40","BETR891",2010,31.6942847202482,39.893,1
"41","BETR892",2010,31.0144371692149,38.873,1
"42","BETN113",2010,10.4542601103488,9.998,1
"43","BETN132",2010,14.1346455535695,12.711,1
"44","BETM705",2010,28.21858172944,27.718,1
"45","BETE009",2010,30.4417272389471,25.252,1
"46","CH0045A",2010,21.2911997205398,16.076,1
"47","CH0037A",2010,30.2125856862977,20.714,1
"48","CH0043A",2010,31.031499894668,25.652,1
"49","CH0011A",2010,34.2224025950646,33.021,1
"50","CH0044A",2010,74.7714038088787,45.695,1
"51","CH0010A",2010,39.6439593125157,32.814,1
"52","DENW094",2010,29.1937914449073,18.435,1
"53","DESN001",2010,23.2879824834268,26.327,1
"54","DEBE062",2010,13.6818047049565,13.315,1
"55","DEBE068",2010,42.3259288465778,27.943,1
"56","DEHE046",2010,9.25365149853637,10.186,1
"57","DESN004",2010,23.85217823238,22.497,1
"58","DEBY010",2010,45.4898482298859,31.981,1
"59","DEST015",2010,16.3505557190179,15.697,1
"60","DENW062",2010,32.0073282814821,29.828,1
"61","DESN006",2010,28.9165572375593,28.876,1
"62","DEBY012",2010,27.3695138979224,29.626,1
"63","DESN083",2010,32.543704132807,44.758,1
"64","DEBB064",2010,24.3265516121946,17.977,1
"65","DEBB044",2010,30.2468833699286,39.999,1
"66","DEHE001",2010,41.9881707296114,27.243,1
"67","DESN012",2010,29.9821017993545,21.612,1
"68","DESL003",2010,23.476840715433,20.734,1
"69","DESN084",2010,43.6288366445932,50.016,1
"70","DENW112",2010,44.0994915199864,43.456,1
"71","DENW102",2010,34.0657606740905,35.505,1
"72","DENW283",2010,32.4688596989187,33.662,1
"73","DENI043",2010,17.3859396619494,16.169,1
"74","DEBY116",2010,29.8140059154439,36.039,1
"75","DENW024",2010,33.1547225172633,32.511,1
"76","DEBW084",2010,34.1489639122427,22.194,1
"77","DEHE059",2010,35.1343772941994,42.892,1
"78","DEBY056",2010,32.4148608832051,30.629,1
"79","DEBW112",2010,27.1651258825758,17.964,1
"80","DEST044",2010,17.7162434456484,16.887,1
"81","DEHH074",2010,38.4630803684902,31.666,1
"82","DEHH049",2010,19.9820704489023,17.971,1
"83","DEHH073",2010,14.7907739207829,19.775,1
"84","DEHH072",2010,20.603653623627,21.531,1
"85","DEHH008",2010,37.2272698265819,29.461,1
"86","DEHH021",2010,19.2827095761195,17.289,1
"87","DEHH015",2010,43.1248262461679,38.063,1
"88","DEHE011",2010,40.3599131259992,37.837,1
"89","DEBW015",2010,29.5517833478859,30.885,1
"90","DETH061",2010,10.2245570278388,9.875,1
"91","DERP035",2010,36.8026417824538,30.359,1
"92","DERP019",2010,38.5860010911161,25.74,1
"93","DESH027",2010,43.2428317242946,54.004,1
"94","DESH033",2010,28.4394043509157,20.452,1
"95","DESN077",2010,30.8811948210543,44.638,1
"96","DEHE044",2010,29.6951719854719,27.596,1
"97","DESH023",2010,18.591440904507,14.805,1
"98","DERP007",2010,35.0669337402531,27.9,1
"99","DEBW007",2010,30.1779850155687,31.207,1
"100","DEBW098",2010,40.1488197238056,49.759,1
"101","DEHE062",2010,31.2324564694032,46.012,1
"102","DEBW142",2010,32.9148830272777,52.412,1
"103","DEHE045",2010,21.8139484142843,20.097,1
"104","DENW187",2010,41.6126521548734,49.623,1
"105","DEBY039",2010,53.3815008354344,34.546,1
"106","DEUB030",2010,3.99776418892793,5.278,1
"107","DENI016",2010,21.3289846379841,12.999,1
"108","DENI076",2010,29.5448145905225,40.839,1
"109","DENI067",2010,38.4281155948046,49.518,1
"110","DENI058",2010,8.43167260956817,10.393,1
"111","DEBY118",2010,42.8354764548705,30.767,1
"112","DEBW110",2010,15.1380765198957,14.97,1
"113","DESH034",2010,28.398301866781,44.88,1
"114","DEBW026",2010,51.3994221954126,35.339,1
"115","DENW078",2010,36.1598510901784,30.567,1
"116","DESH028",2010,23.8117408011455,42.521,1
"117","DEHE018",2010,35.7419247340433,32.545,1
"118","DEBY062",2010,24.7903346797087,15.47,1
"119","DEHE043",2010,16.9366176917297,21.026,1
"120","DENI070",2010,17.5421877420687,17.312,1
"121","DEST069",2010,14.2159226230056,12.88,1
"122","DEUB004",2010,12.2331837837102,2.563,1
"123","DESN074",2010,13.1559091301225,11.986,1
"124","DEMV023",2010,24.6145477866365,24.707,1
"125","DEBW056",2010,28.2361323673956,21.026,1
"126","DENW068",2010,16.0437915946364,16.723,1
"127","DENW080",2010,38.4148717663478,26.046,1
"128","DEBB066",2010,6.88592365826111,7.881,1
"129","DEST063",2010,32.3004947592152,18.533,1
"130","DEBW116",2010,52.0666935455433,99.918,1
"131","DENW010",2010,30.1768542117422,24.708,1
"132","DESL017",2010,26.7124417897199,19.941,1
"133","DEBY075",2010,24.7508667049566,26.561,1
"134","DEBW023",2010,24.9145569973056,18.951,1
"135","DENI060",2010,13.8529608126671,12.183,1
"136","DEST011",2010,24.2534438232752,16.453,1
"137","DERP023",2010,36.2686324499939,31.893,1
"138","DEBY119",2010,38.628634321368,43.695,1
"139","DK0046A",2010,27.8903868759954,17.805,1
"140","DK0051A",2010,27.4341597094899,39.13,1
"141","ES0001R",2010,6.82538180265135,3.155,1
"142","ES0007R",2010,13.2210254569175,6.776,1
"143","ES0016R",2010,6.45272034380846,3.209,1
"144","ES0115A",2010,55.721679498191,49.114,1
"145","ES0118A",2010,59.3850544169372,54.35,1
"146","ES0126A",2010,40.1521819897057,42.11,1
"147","ES0316A",2010,5.08888328212596,4.489,1
"148","ES0360A",2010,9.66714422908165,13.521,1
"149","ES0365A",2010,5.92842133687029,2.896,1
"150","ES0622A",2010,9.44667161568363,10.073,1
"151","ES0692A",2010,49.0831834488681,40.928,1
"152","ES0694A",2010,36.351546632694,38.575,1
"153","ES0695A",2010,45.2962795340247,38.824,1
"154","ES0761A",2010,10.9000381851664,11.938,1
"155","ES0890A",2010,22.3511818433365,37.502,1
"156","ES0901A",2010,9.64765854936252,10.899,1
"157","ES1033A",2010,10.3430889568928,8.309,1
"158","ES1038A",2010,27.1354292481117,21.652,1
"159","ES1117A",2010,10.6475939390363,22.379,1
"160","ES1122A",2010,16.6856167011942,15.395,1
"161","ES1124A",2010,23.4543575895933,24.607,1
"162","ES1161A",2010,23.788895967419,31.334,1
"163","ES1185A",2010,28.7248380307036,16.773,1
"164","ES1231A",2010,39.1439048709077,32.436,1
"165","ES1239A",2010,45.9428876133981,44.507,1
"166","ES1246A",2010,15.2626298410093,11.498,1
"167","ES1268A",2010,28.8681660579542,37.81,1
"168","ES1270A",2010,29.3115552315873,37.045,1
"169","ES1278A",2010,20.9607025930827,19.176,1
"170","ES1320A",2010,14.4687575047866,24.816,1
"171","ES1349A",2010,23.6821884166659,24.714,1
"172","ES1397A",2010,20.4663571770505,20.862,1
"173","ES1424A",2010,26.2882108915579,28.756,1
"174","ES1445A",2010,15.3633723004786,17.535,1
"175","ES1449A",2010,21.9089663891518,32.482,1
"176","ES1530A",2010,17.6273575500976,14.066,1
"177","ES1549A",2010,18.6701403215996,16.038,1
"178","ES1564A",2010,33.3293060446135,28.809,1
"179","ES1565A",2010,27.7475055234353,35.425,1
"180","ES1567A",2010,33.2306497483258,43.831,1
"181","ES1569A",2010,16.7854205626937,13.411,1
"182","ES1589A",2010,24.2843886032157,19.861,1
"183","ES1591A",2010,11.0745570147558,29.508,1
"184","ES1593A",2010,18.431460403554,13.465,1
"185","ES1594A",2010,15.3342147549164,15.817,1
"186","ES1595A",2010,22.47476245159,27.146,1
"187","ES1599A",2010,11.6841641483308,6.306,1
"188","ES1617A",2010,12.0380134509632,12.103,1
"189","ES1619A",2010,41.3353805962318,28.752,1
"190","ES1625A",2010,31.9921174263145,29.74,1
"191","ES1643A",2010,18.4571217461921,24.431,1
"192","ES1651A",2010,20.1437838884947,23.488,1
"193","ES1657A",2010,17.7520977438403,13.833,1
"194","ES1658A",2010,18.1480582405071,12.449,1
"195","ES1661A",2010,10.5690254010099,10.287,1
"196","ES1671A",2010,6.85151914148214,4.938,1
"197","ES1684A",2010,42.1511420842321,28.853,1
"198","ES1688A",2010,12.1928019238459,8.155,1
"199","ES1747A",2010,29.6503027513873,26.773,1
"200","ES1750A",2010,40.8959000475751,27.35,1
"201","ES1753A",2010,9.27020520467725,9.636,1
"202","ES1755A",2010,8.33472850793338,7.639,1
"203","ES1799A",2010,24.4549924008926,22.366,1
"204","ES1801A",2010,20.1107431595325,19.488,1
"205","ES1815A",2010,23.3775926456754,21.841,1
"206","ES1835A",2010,9.46386552731877,12.651,1
"207","ES1856A",2010,43.5442728761771,36.967,1
"208","ES1857A",2010,14.7229716813966,12.065,1
"209","ES1859A",2010,12.4283369476859,23.524,1
"210","ES1883A",2010,5.48990051664967,4.083,1
"211","ES1886A",2010,19.7842444201119,15.663,1
"212","ES1898A",2010,7.05102301766782,9.377,1
"213","ES1915A",2010,27.9196635753112,24.911,1
"214","ES1923A",2010,18.767527244475,11.145,1
"215","ES1927A",2010,19.9088848661157,15.885,1
"216","ES1929A",2010,35.8812536905812,40.813,1
"217","ES1930A",2010,13.5968878061573,5.612,1
"218","ES1941A",2010,37.4893817642856,41.39,1
"219","ES1944A",2010,40.4710234187881,37.825,1
"220","ES1947A",2010,33.9320907247152,41.457,1
"221","ES1986A",2010,16.2880674086864,19.788,1
"222","ES1991A",2010,5.15656652172087,2.675,1
"223","FI00397",2010,18.0758881588375,15.248,1
"224","FI00363",2010,21.3277623960067,15.19,1
"225","FI00066",2010,14.5040603461094,12.977,1
"226","FI00588",2010,25.5526975147327,21.239,1
"227","FI00460",2010,7.78778689920475,10.009,1
"228","FI00839",2010,22.4826771034626,36.683,1
"229","FI00186",2010,20.7086713060264,33.373,1
"230","FI00576",2010,35.8077893622124,52.892,1
"231","FR31032",2010,18.5269614994802,13.011,1
"232","FR12026",2010,17.1762299331806,17.039,1
"233","FR04018",2010,41.5488156113521,37.866,1
"234","FR03080",2010,31.2183990519489,19.854,1
"235","FR12043",2010,16.5372768381512,21.974,1
"236","FR11022",2010,24.691472881932,24.609,1
"237","FR31007",2010,21.1854673169751,19.896,1
"238","FR41004",2010,11.346963607208,15.904,1
"239","FR14010",2010,18.4153977286178,20.332,1
"240","FR31003",2010,32.4172068989357,26.478,1
"241","FR23046",2010,12.0282872217478,12.15,1
"242","FR17002",2010,24.3737680505577,31.907,1
"243","FR34062",2010,25.6756965560142,18.213,1
"244","FR19014",2010,21.6234318237872,43.812,1
"245","FR19012",2010,23.238335941745,18.312,1
"246","FR16060",2010,22.0252970774364,26.516,1
"247","FR04008",2010,39.2569731956804,36.9,1
"248","FR20047",2010,26.4451589886938,21.577,1
"249","FR10027",2010,30.6573969104153,29.286,1
"250","FR10024",2010,38.3584992541571,34.202,1
"251","FR16059",2010,21.1304346906043,28.87,1
"252","FR15012",2010,18.8839580995373,17.531,1
"253","FR08003",2010,34.6281314540579,31.061,1
"254","FR34051",2010,18.1351344396472,13.162,1
"255","FR17007",2010,17.2173814811784,18.187,1
"256","FR34046",2010,24.3349453080813,14.873,1
"257","FR29425",2010,21.7709303519062,21.116,1
"258","FR33303",2010,27.4342724501103,19.212,1
"259","FR01006",2010,23.5365404103264,22.517,1
"260","FR22004",2010,26.3757631145925,21.208,1
"261","FR20038",2010,30.3230493621069,25.097,1
"262","FR24015",2010,37.9083434713676,25.424,1
"263","FR08204",2010,17.3591914102343,9.752,1
"264","FR15043",2010,28.1788736705801,24.816,1
"265","FR31014",2010,13.8002837459825,18.668,1
"266","FR04001",2010,44.135321892669,31.476,1
"267","FR23092",2010,23.2496347573882,21.342,1
"268","FR30033",2010,14.0051573271125,9.948,1
"269","FR23110",2010,19.3787892274096,14.317,1
"270","FR09016",2010,18.5490560789641,17.585,1
"271","FR05086",2010,29.4842909502983,19.476,1
"272","FR07021",2010,31.4696610696697,33.403,1
"273","FR08714",2010,24.3983361186227,21.006,1
"274","FR11033",2010,28.2749603014693,30.107,1
"275","FR19032",2010,19.1918367558766,14.792,1
"276","FR30026",2010,27.2019117314018,29.44,1
"277","FR31006",2010,23.6841133446808,35.461,1
"278","FR01011",2010,37.4645771534352,26.38,1
"279","FR07004",2010,24.6307530797919,25.725,1
"280","FR07013",2010,16.6935018769657,15.236,1
"281","FR16066",2010,28.860431899161,22.344,1
"282","FR04017",2010,45.3287890791403,39.356,1
"283","FR16055",2010,23.7620712965973,24.288,1
"284","FR23181",2010,19.2415870310209,16.243,1
"285","FR04014",2010,46.0220877821399,39.946,1
"286","FR04037",2010,49.7214429910554,37.629,1
"287","FR04060",2010,42.6160588036058,44.383,1
"288","FR12027",2010,25.0927383657505,22.375,1
"289","FR09009",2010,24.7041074783194,31.592,1
"290","FR04141",2010,61.9233487755811,71.903,1
"291","FR19051",2010,18.2026908176218,15.185,1
"292","FR12009",2010,28.1572038487954,45.367,1
"293","FR19006",2010,23.6628430540409,20.614,1
"294","FR02020",2010,26.0696512781501,15.569,1
"295","FR25037",2010,66.182566096188,47.181,1
"296","FR07001",2010,18.8299944475999,13.693,1
"297","FR20048",2010,26.2548095292298,16.128,1
"298","FR33111",2010,19.049633504091,14.858,1
"299","FR29426",2010,27.9804979787117,32.711,1
"300","FR04059",2010,47.6481129974352,33.484,1
"301","FR16034",2010,48.9353080927316,56.823,1
"302","FR08004",2010,39.6344324249948,51.468,1
"303","FR15038",2010,26.8938640718248,30.022,1
"304","FR01022",2010,28.8542386664718,20.181,1
"305","FR30023",2010,26.884517066037,21.87,1
"306","FR26005",2010,24.6439324839313,21.358,1
"307","FR26016",2010,21.7816266425771,17.844,1
"308","FR33260",2010,35.1687572258089,16.194,1
"309","FR35006",2010,21.0550960235131,17.312,1
"310","FR17014",2010,16.5678381656078,15.968,1
"311","FR30024",2010,23.5313042602641,17.794,1
"312","FR14013",2010,29.337389537746,50.703,1
"313","FR36002",2010,33.2958637934691,24.981,1
"314","FR34034",2010,18.078574590292,17.254,1
"315","FR30029",2010,12.8073427476698,12.27,1
"316","FR16031",2010,12.146336816123,11.609,1
"317","FR21035",2010,23.7167914078588,18.134,1
"318","GB0580A",2010,30.0382528423564,32.854,1
"319","GB0921A",2010,35.49155851869,38.96,1
"320","GB0637A",2010,48.0161534199785,44.684,1
"321","GB0916A",2010,26.3784630781157,30.491,1
"322","GB0776A",2010,36.7613101029754,27.924,1
"323","GB0861A",2010,18.2627526393158,15.053,1
"324","GB0586A",2010,35.7988930000678,24.579,1
"325","GB0620A",2010,45.2495432740433,36.826,1
"326","GB0644A",2010,31.854039437842,23.991,1
"327","GB0743A",2010,45.4885030632607,51.983,1
"328","GB0906A",2010,17.3534300329334,18.656,1
"329","GB0956A",2010,20.8546730265178,21.125,1
"330","GB0045R",2010,11.1432388778791,11.085,1
"331","GB0755A",2010,27.4209038774221,24.209,1
"332","GR0027A",2010,35.8429387922171,30.037,1
"333","GR0032A",2010,45.7481346739055,83.226,1
"334","GR0037A",2010,21.9852474265554,9.883,1
"335","HU0027A",2010,29.1958293564425,35.293,1
"336","IE0118A",2010,18.4545577340107,9.564,1
"337","IT1042A",2010,40.1345726535758,35.113,1
"338","IT0991A",2010,29.5304052145691,41.265,1
"339","IT0455A",2010,28.3228787701835,41.051,1
"340","IT0983A",2010,24.4431358618487,30.747,1
"341","IT1976A",2010,21.9339234565912,31.72,1
"342","IT1693A",2010,28.9023210497733,47.141,1
"343","IT1440A",2010,19.7771500624579,26.669,1
"344","IT1348A",2010,28.4104916423355,32.068,1
"345","IT1365A",2010,26.8193863459479,60.471,1
"346","IT0908A",2010,19.1239619596674,19.648,1
"347","IT1848A",2010,23.9714586722879,13.488,1
"348","IT1465A",2010,46.5008195325891,46.803,1
"349","IT1248A",2010,29.3325564636211,44.809,1
"350","IT2039A",2010,24.7065426913158,43.034,1
"351","IT1798A",2010,28.9284898337388,19.236,1
"352","IT1648A",2010,40.0206912482269,49.439,1
"353","IT1832A",2010,14.6319661831712,12.963,1
"354","IT1485A",2010,35.9258971591341,29.935,1
"355","IT0872A",2010,29.3049556477529,33.097,1
"356","IT1376A",2010,16.0596554744336,16.025,1
"357","IT1407A",2010,8.86320139663414,7.65,1
"358","IT1833A",2010,35.3402575193044,26.429,1
"359","IT1457A",2010,32.2743234888778,35.344,1
"360","IT0447A",2010,27.9391461363583,23.532,1
"361","IT1981A",2010,32.3890823838886,52.89,1
"362","IT0804A",2010,37.7854639973157,32.963,1
"363","IT1287A",2010,30.3141596020283,38.909,1
"364","IT0771A",2010,41.940273514839,54.947,1
"365","IT1831A",2010,18.8311931070882,16.944,1
"366","IT0995A",2010,63.8081824788658,60.919,1
"367","IT1736A",2010,26.4994072403128,34.71,1
"368","IT0854A",2010,46.8014364457441,37.951,1
"369","IT1904A",2010,17.7613240967358,9.704,1
"370","IT1890A",2010,8.4868040511105,1.33,1
"371","IT2007A",2010,35.7200629226158,34.992,1
"372","IT1871A",2010,29.7923248666849,28.759,1
"373","IT1653A",2010,30.0791127167441,31.678,1
"374","IT1929A",2010,34.7526233459659,23.1,1
"375","IT1923A",2010,38.3563767991318,48.598,1
"376","IT1592A",2010,33.3358026096121,55.144,1
"377","IT1802A",2010,37.1015327587583,41.793,1
"378","IT0187A",2010,38.0690281675556,43.802,1
"379","IT1546A",2010,14.5745270251997,16.104,1
"380","IT1535A",2010,27.6526952871537,27.028,1
"381","IT0989A",2010,23.1203499080399,7.707,1
"382","IT1238A",2010,27.8920390954755,15.231,1
"383","IT1286A",2010,39.7259231402953,31.958,1
"384","IT1187A",2010,29.705024391673,32.869,1
"385","IT1089A",2010,28.5307412615585,34.288,1
"386","IT1010A",2010,33.2921597626099,41.246,1
"387","IT1868A",2010,34.8460584191586,34.747,1
"388","IT1480A",2010,34.6152972920676,36.517,1
"389","IT1034A",2010,44.7051798575043,54.874,1
"390","IT1692A",2010,56.1981078316523,58.671,1
"391","IT1935A",2010,30.0381306749319,23.714,1
"392","IT1091A",2010,26.9472929767682,21.83,1
"393","IT1389A",2010,27.9939518812386,30.753,1
"394","IT1190A",2010,26.0380530999737,26.117,1
"395","IT0978A",2010,23.0578414177921,25.905,1
"396","IT1795A",2010,16.5350729872436,6.418,1
"397","IT1600A",2010,23.3841678235674,12.282,1
"398","IT1491A",2010,42.0244574127121,60.247,1
"399","IT1018A",2010,43.355743260208,57.51,1
"400","IT1676A",2010,40.5512113684205,57.7,1
"401","IT0856A",2010,52.0918434529179,22.778,1
"402","IT1870A",2010,23.4330993431884,17.393,1
"403","IT1975A",2010,34.8458569433827,29.85,1
