"station_european_code","year","gwr","obs","nfold"
"AT30101","2010",29.6422352312928,26.009,4
"AT60180","2010",22.0754224862829,19.567,4
"AT60195","2010",21.4434694322605,16.343,4
"AT10001","2010",24.5687183557127,20.133,4
"AT4S165","2010",27.6790702301867,53.113,4
"AT60170","2010",30.8947738068034,34.913,4
"AT72315","2010",35.2266771385307,41.056,4
"AT72123","2010",15.6704776580699,4.48,4
"AT60136","2010",22.3395045560244,24.053,4
"AT32604","2010",16.7238247606051,15.925,4
"AT2KA11","2010",38.2567630891275,26.761,4
"AT2F202","2010",13.4625917586275,15.176,4
"AT60185","2010",12.5278190106982,10.51,4
"AT32501","2010",21.9100760301458,22.361,4
"AT4S415","2010",59.6966219593715,35.647,4
"AT31401","2010",27.1834453277493,19.652,4
"AT60193","2010",18.3068750678697,17.471,4
"AT31502","2010",12.2200944533886,6.157,4
"AT30065","2010",25.0955745026779,23.596,4
"AT32302","2010",28.0302175806712,40.578,4
"AT30902","2010",25.5808748001868,29.777,4
"AT60135","2010",20.8208138667504,25.676,4
"AT31904","2010",15.7455924540213,12.484,4
"AT31901","2010",29.5652941565599,19.209,4
"AT4S406","2010",45.7138428582859,30.269,4
"AT90AKC","2010",32.4471790199544,29.568,4
"AT90LAA","2010",30.165707951464,32.261,4
"AT9RINN","2010",30.8714360766665,42.004,4
"AT32401","2010",23.0116116163341,18.56,4
"AT30403","2010",15.5957048664722,15.401,4
"AT55018","2010",25.2586370166371,32.993,4
"BETB011","2010",36.5237436031905,29.793,4
"BETR001","2010",41.9341096732298,42.885,4
"BETR012","2010",30.9765622032926,27.626,4
"BETR020","2010",33.6234302621891,33.899,4
"BETR811","2010",40.3821641332625,33.597,4
"BETN121","2010",10.4293766979461,10.379,4
"BETR201","2010",33.0811783377652,29.723,4
"BETM702","2010",23.5661133925977,26.502,4
"BETN029","2010",15.1425918548187,15.834,4
"BETR701","2010",32.1779900354991,35.121,4
"BETR502","2010",32.6444482392853,29.057,4
"BETE701","2010",22.7124599312075,22.917,4
"BETE702","2010",21.7625842986456,19.162,4
"BETE716","2010",26.6039499805537,25.651,4
"BETE804","2010",31.5195563579584,32.141,4
"BETE812","2010",29.4705030589841,20.99,4
"CH0051A","2010",16.6183410783213,13.939,4
"CH0029A","2010",34.9257572221053,64.115,4
"CH0017A","2010",30.5618152979039,29.749,4
"CH0022A","2010",20.8411274916465,25.216,4
"CH0028A","2010",39.6796232340334,39.209,4
"CH0021A","2010",41.5593924990301,44.087,4
"DEBW029","2010",27.3133358709525,22.466,4
"DEBY110","2010",41.409518720428,54.282,4
"DEBE051","2010",19.9321737661887,14.036,4
"DEBE056","2010",17.6688470686612,13.493,4
"DEBE034","2010",38.0461493719543,28.388,4
"DEBE010","2010",45.2733631189562,27.995,4
"DEHE032","2010",21.509031402347,17.949,4
"DESL019","2010",11.7516014936125,11.793,4
"DEBB049","2010",23.4707900726869,43.393,4
"DENI011","2010",17.3315309783322,16.1,4
"DENI075","2010",39.639135443213,51.231,4
"DEHB001","2010",31.7369963527675,19.86,4
"DEHB004","2010",39.0566980329229,22.143,4
"DESN011","2010",33.283727513699,26.746,4
"DEHB011","2010",42.84792054683,46.617,4
"DEHE040","2010",40.008976615046,65.402,4
"DEST091","2010",39.1339329071032,26.066,4
"DESN061","2010",53.4498033497022,39.456,4
"DESN092","2010",38.9759914243462,23.228,4
"DENW034","2010",32.8712068898774,29.108,4
"DENW082","2010",51.4325362453614,67.304,4
"DEBB007","2010",19.2852745984819,17.299,4
"DEBB045","2010",32.6195471535405,36.383,4
"DEHE058","2010",34.1133583869006,27.704,4
"DEHE028","2010",11.9245770090337,11.496,4
"DEBY081","2010",14.8146941979705,11.406,4
"DEMV019","2010",20.4684236013829,11.201,4
"DENW133","2010",43.2533851322084,63.313,4
"DEHH047","2010",33.1598447861267,17.599,4
"DEBB053","2010",8.06833226430118,9.136,4
"DERP014","2010",8.59231903660594,10.298,4
"DEBY021","2010",29.977734129588,32.12,4
"DENW284","2010",31.7698594050161,35.187,4
"DENI031","2010",13.0391049031291,11.574,4
"DEBW081","2010",36.8502880927823,25.464,4
"DEBY004","2010",21.5419817929799,18.444,4
"DEBB082","2010",18.119666197103,19.074,4
"DEBY033","2010",31.549790885245,29.26,4
"DEST090","2010",19.3715384310087,16.391,4
"DEMV012","2010",7.12502700669554,7.96,4
"DEST103","2010",30.8944111550581,39.329,4
"DEST076","2010",64.2704793032054,45.649,4
"DEST099","2010",44.7336007126317,43.411,4
"DERP010","2010",50.9370187784921,60.927,4
"DERP011","2010",41.8879422539872,45.324,4
"DEBW006","2010",42.423162936594,32.7,4
"DENW260","2010",43.1732553176707,46.544,4
"DENW095","2010",31.2146295080749,23.809,4
"DEBY047","2010",20.7348466787679,17.689,4
"DENW066","2010",26.0668260378227,25.261,4
"DEBB048","2010",22.5509466159452,14.898,4
"DEBY049","2010",18.292833077557,17.444,4
"DERP027","2010",31.5320492846143,25.097,4
"DESN079","2010",11.5495183908303,12.62,4
"DENI029","2010",21.8301276226798,16.239,4
"DESN075","2010",37.1071926108064,29.975,4
"DEBW121","2010",28.5119387578516,58.294,4
"DEHE094","2010",27.565156434691,41.3,4
"DEMV020","2010",32.9064776108136,44.325,4
"DEUB029","2010",10.3482153903357,5.452,4
"DEBW031","2010",10.3413652599915,5.388,4
"DENI077","2010",7.89862467263431,9.019,4
"DEHE026","2010",10.0313130040814,9.108,4
"DEBW118","2010",50.0580898660097,94.501,4
"DEBW107","2010",28.8401739487125,24.705,4
"DETH084","2010",25.4647910333628,34.149,4
"DETH093","2010",24.9574703088902,22.87,4
"DERP013","2010",10.3571648034841,11.907,4
"DEHE022","2010",33.3391029266541,34.769,4
"DEBB063","2010",18.2911030256956,13.253,4
"DEBY077","2010",31.3253973368056,30.787,4
"DETH060","2010",22.9137286427731,18.75,4
"DESN091","2010",34.0233058216731,32.999,4
"DK0031A","2010",26.5079506510365,31.52,4
"ES0012R","2010",5.46770400499328,4.282,4
"ES0014R","2010",5.28660440379064,3.685,4
"ES0074A","2010",12.8412179344579,5.415,4
"ES0104A","2010",31.7592942986254,33.568,4
