"station_european_code","year","gwr","obs","nfold"
"AT30101","2010",34.7750963574508,26.009,4
"AT60180","2010",26.0296242843894,19.567,4
"AT60195","2010",26.0175891826911,16.343,4
"AT10001","2010",26.496217395005,20.133,4
"AT4S165","2010",30.7782277999207,53.113,4
"AT60170","2010",36.3499839703216,34.913,4
"AT72315","2010",35.9264322581707,41.056,4
"AT72123","2010",16.1584719462781,4.48,4
"AT60136","2010",27.2538308070349,24.053,4
"AT32604","2010",21.8836061763557,15.925,4
"AT2KA11","2010",39.1915019920803,26.761,4
"AT2F202","2010",17.2035243829581,15.176,4
"AT60185","2010",13.0847830890366,10.51,4
"AT32501","2010",25.0902215453326,22.361,4
"AT4S415","2010",59.5924970866362,35.647,4
"AT31401","2010",30.6382324445956,19.652,4
"AT60193","2010",22.7448773227646,17.471,4
"AT31502","2010",13.4065467240423,6.157,4
"AT30065","2010",27.0244701704121,23.596,4
"AT32302","2010",31.3023258636509,40.578,4
"AT30902","2010",28.455380257207,29.777,4
"AT60135","2010",25.8205000524091,25.676,4
"AT31904","2010",17.7280864648198,12.484,4
"AT31901","2010",31.3324191641095,19.209,4
"AT4S406","2010",48.8609531453113,30.269,4
"AT90AKC","2010",39.0232808952499,29.568,4
"AT90LAA","2010",34.0510536264331,32.261,4
"AT9RINN","2010",36.0127125178242,42.004,4
"AT32401","2010",25.649344388686,18.56,4
"AT30403","2010",17.4648365219909,15.401,4
"AT55018","2010",24.5915385540336,32.993,4
"BETB011","2010",37.1045854594797,29.793,4
"BETR001","2010",44.1730082184523,42.885,4
"BETR012","2010",31.910072410644,27.626,4
"BETR020","2010",34.8473650682329,33.899,4
"BETR811","2010",40.0700292950025,33.597,4
"BETN121","2010",10.3792577882949,10.379,4
"BETR201","2010",32.4046722872089,29.723,4
"BETM702","2010",23.5903378298895,26.502,4
"BETN029","2010",15.3161457630261,15.834,4
"BETR701","2010",33.5235642749375,35.121,4
"BETR502","2010",32.17685402426,29.057,4
"BETE701","2010",23.4120989268888,22.917,4
"BETE702","2010",21.683798088753,19.162,4
"BETE716","2010",27.8411876116751,25.651,4
"BETE804","2010",28.8941063190408,32.141,4
"BETE812","2010",29.3006644497391,20.99,4
"CH0051A","2010",16.3403826148121,13.939,4
"CH0029A","2010",41.3312941191223,64.115,4
"CH0017A","2010",36.3108506879909,29.749,4
"CH0022A","2010",24.6112669908901,25.216,4
"CH0028A","2010",37.6584502667844,39.209,4
"CH0021A","2010",46.2836768999211,44.087,4
"DEBW029","2010",29.5957011853879,22.466,4
"DEBY110","2010",41.9364001656395,54.282,4
"DEBE051","2010",20.236911220943,14.036,4
"DEBE056","2010",17.2139370781623,13.493,4
"DEBE034","2010",38.6999924585684,28.388,4
"DEBE010","2010",43.0194529484352,27.995,4
"DEHE032","2010",20.1362441161242,17.949,4
"DESL019","2010",13.3230242426861,11.793,4
"DEBB049","2010",23.1418491109571,43.393,4
"DENI011","2010",18.0432811174223,16.1,4
"DENI075","2010",40.2397855824885,51.231,4
"DEHB001","2010",32.619513805232,19.86,4
"DEHB004","2010",37.3727226113987,22.143,4
"DESN011","2010",33.2929175006694,26.746,4
"DEHB011","2010",41.623813041661,46.617,4
"DEHE040","2010",37.0758761248373,65.402,4
"DEST091","2010",38.5641458376769,26.066,4
"DESN061","2010",52.2992308199554,39.456,4
"DESN092","2010",39.0314525903781,23.228,4
"DENW034","2010",33.2996968347223,29.108,4
"DENW082","2010",50.1535192162069,67.304,4
"DEBB007","2010",20.004928984456,17.299,4
"DEBB045","2010",31.8380100258477,36.383,4
"DEHE058","2010",33.5931429464275,27.704,4
"DEHE028","2010",12.6664200025769,11.496,4
"DEBY081","2010",15.4885722575253,11.406,4
"DEMV019","2010",20.0498062425759,11.201,4
"DENW133","2010",46.1269576885218,63.313,4
"DEHH047","2010",26.8909481031299,17.599,4
"DEBB053","2010",8.10724791203247,9.136,4
"DERP014","2010",10.1407306167459,10.298,4
"DEBY021","2010",32.6414533589665,32.12,4
"DENW284","2010",31.158311945717,35.187,4
"DENI031","2010",13.5091645479016,11.574,4
"DEBW081","2010",37.4407581155363,25.464,4
"DEBY004","2010",21.1178071906682,18.444,4
"DEBB082","2010",18.8914343385753,19.074,4
"DEBY033","2010",34.5093552907066,29.26,4
"DEST090","2010",19.2021706303572,16.391,4
"DEMV012","2010",6.81380604368623,7.96,4
"DEST103","2010",31.1173380130511,39.329,4
"DEST076","2010",64.4466867502474,45.649,4
"DEST099","2010",44.695063725395,43.411,4
"DERP010","2010",52.8167657473459,60.927,4
