"station_european_code","year","gwr","obs","nfold"
"AT60151","2010",15.6610288825752,14.925,2
"AT31701","2010",17.681400112228,12.871,2
"AT2M226","2010",25.2627326158969,19.607,2
"AT4S108","2010",13.3039511314539,7.374,2
"AT30401","2010",17.7359314970747,15.519,2
"AT52300","2010",32.4434471552555,53.515,2
"AT30502","2010",12.2207588370337,8.922,2
"AT72710","2010",21.632671386699,25.427,2
"AT72311","2010",28.4611584339785,35.039,2
"AT72106","2010",36.5174167552808,37.584,2
"AT2KA61","2010",34.7913657441799,45.991,2
"AT2KA21","2010",34.3628467172171,40.42,2
"AT4S418","2010",23.1099522044349,17.343,2
"AT60182","2010",25.9726051187947,18.562,2
"AT4S412","2010",31.3551547625009,27.204,2
"AT4S416","2010",37.1798117001932,34.35,2
"AT4S184","2010",36.4846764195228,30.941,2
"AT80710","2010",29.3006499397022,45.074,2
"AT60183","2010",20.0649615347867,22.643,2
"AT2AUT1","2010",26.5505013551317,19.477,2
"AT51066","2010",30.1485090176183,32.894,2
"AT2WO25","2010",27.9100611641307,30.193,2
"AT80503","2010",9.75592044304365,6.733,2
"AT55032","2010",16.1544505331532,15.206,2
"AT31703","2010",21.1194353817981,16.712,2
"AT60107","2010",29.6906303811539,19.644,2
"AT72821","2010",38.343119338445,67.724,2
"AT9JAEG","2010",18.6957827301027,13.221,2
"AT31413","2010",23.6810530578112,30.4,2
"AT0ZOE2","2010",7.81542758198707,5.995,2
"BELHB23","2010",31.999424161201,32.516,2
"BELLD01","2010",29.7318308421866,27.587,2
"BELLD02","2010",29.9920535547089,24.889,2
"BETN043","2010",33.4677987357686,44.224,2
"BETN040","2010",20.5856531952179,21.583,2
"BETN045","2010",27.1130623670113,28.66,2
"BETR801","2010",43.4967614836121,44.269,2
"BETR830","2010",27.7411977157392,28.321,2
"BETR893","2010",34.0899940398719,38.068,2
"BETN066","2010",17.5159181605833,15.289,2
"BETN070","2010",26.6553954840601,30.732,2
"BETN100","2010",9.69110735821677,9.002,2
"BETR223","2010",29.3945713574843,31.435,2
"BETR740","2010",33.5641861869524,28.9,2
"BETR501","2010",31.63316394914,37.124,2
"BETR512","2010",28.1719006291319,27.032,2
"BETE007","2010",21.0364466542715,25.173,2
"BETE008","2010",29.5339983875995,28.444,2
"CH0031A","2010",39.867475517137,45.216,2
"CH0020A","2010",30.2515899769138,29.417,2
"CH0033A","2010",17.9137958981996,21.442,2
"CH0002R","2010",19.6069411696343,15.291,2
"CH0005R","2010",12.4438772615696,8.141,2
"CH0003R","2010",18.407268106501,14.17,2
"DENI063","2010",13.8250805407337,14.643,2
"DEBY005","2010",24.0277469182962,33.748,2
"DEBY006","2010",55.0666888706413,51.141,2
"DEBE067","2010",35.0598478427898,62.506,2
"DENI071","2010",16.6374217390431,44.517,2
"DEBB068","2010",27.8678251144679,28.593,2
"DEBW042","2010",26.3395577956746,32.836,2
"DESH008","2010",11.1199275255451,12.618,2
"DEBB055","2010",20.8711936114288,15.998,2
"DEHB006","2010",44.7857314380879,45.818,2
"DEHB005","2010",21.2323209635568,22.361,2
"DESN076","2010",11.1008873640149,12.627,2
"DETH026","2010",16.7131543098862,12.998,2
"DENI028","2010",14.7796743457984,12.364,2
"DETH013","2010",20.559184289356,19.553,2
"DETH020","2010",40.7918486563858,24.865,2
"DENW135","2010",45.5181891663128,55.389,2
"DENW043","2010",71.7391068570066,43.472,2
"DEBB042","2010",20.6475348804833,16.264,2
"DEHE005","2010",37.9386798254661,48.022,2
"DEHE009","2010",31.7130738251036,32.605,2
"DEBW038","2010",27.714394927538,23.667,2
"DEHE061","2010",37.2888199180098,46.127,2
"DETH036","2010",23.3968362955027,20.189,2
"DESN020","2010",27.3840015577111,29.321,2
"DEMV004","2010",9.70731737793822,8.539,2
"DEST102","2010",36.0076179651521,58.615,2
"DENI048","2010",44.3056955951903,51.089,2
"DENW029","2010",29.0591080718662,22.738,2
"DEBW009","2010",41.8932822123269,28.23,2
"DEBW135","2010",27.7617445493606,61.519,2
"DENW058","2010",32.5559003599368,26.785,2
"DEHE013","2010",30.3281442655776,24.66,2
"DEBW022","2010",25.0482519756967,26.359,2
"DESN024","2010",19.9333044753785,15.008,2
"DERP024","2010",49.9349720927053,42.151,2
"DEBW052","2010",26.9288910945268,22.591,2
"DENW211","2010",56.1056253901548,65.027,2
"DEBY035","2010",21.9186695727143,30.994,2
"DEHE042","2010",18.0213927568501,19.592,2
"DEBW117","2010",38.4942988274036,69.342,2
"DERP041","2010",54.1534048815619,49.237,2
"DEBB065","2010",7.56553132823119,9.657,2
"DERP012","2010",37.0556484887771,44.897,2
"DERP009","2010",35.5084763328299,40.825,2
"DEBW005","2010",28.1070738703425,28.173,2
"DEHE030","2010",29.7474323091359,22.95,2
"DEBY013","2010",17.1477650865107,20.187,2
"DETH094","2010",25.6314765437139,38,2
"DENW038","2010",35.906563507382,33.2,2
"DEBY114","2010",45.2713302854717,68.072,2
"DEBB067","2010",16.9905352933369,13.065,2
"DENW065","2010",9.88153476130702,5.249,2
"DEBY052","2010",36.3619503961507,31.142,2
"DEMV003","2010",25.1149795983237,23.499,2
"DERP046","2010",35.1742818299274,31.335,2
"DEBY053","2010",36.6452978635074,39.661,2
"DEBY120","2010",51.3335932352138,50.344,2
"DENW188","2010",51.1490305365323,62.057,2
"DEBW103","2010",16.3658952995592,12.406,2
"DEBW111","2010",32.6049662163162,22.373,2
"DEBB054","2010",26.0222397941008,45.388,2
"DEBB075","2010",15.1955095981088,16.385,2
"DESN051","2010",20.9044432422453,16.869,2
"DEBY063","2010",37.2779916804279,47.752,2
"DEBW147","2010",41.0367770197162,88.123,2
"DETH005","2010",20.9231570080137,19.084,2
"DESL020","2010",40.3484735079803,43.734,2
"DEBY067","2010",25.2691979938839,24.7,2
"DENW179","2010",32.4832650472754,26.412,2
"DEBW011","2010",44.0864742754696,41.81,2
"DESL018","2010",30.6715457079101,22.51,2
"DENI053","2010",13.2775640937807,13.479,2
"DEBW059","2010",15.7259476818669,14.832,2
"DEBY072","2010",9.53877392923366,13.171,2
"DERP036","2010",37.9383617820873,40.162,2
"DEBW040","2010",24.0704747319719,23.891,2
"DENW181","2010",16.2011211928414,16.057,2
"DERP016","2010",10.7542784761816,11.238,2
"DENI051","2010",6.38161508895377,6.541,2
"DEST089","2010",6.94144470263901,8.83,2
"DESN045","2010",21.2896493673955,16.326,2
"DK0021A","2010",28.3814853051796,38.478,2
"DK0031R","2010",5.21303901087077,4.36,2
"ES0009R","2010",4.53794549997022,1.514,2
"ES0013R","2010",6.67428662582534,3.764,2
"ES0094A","2010",9.08867797498571,3.635,2
"ES0625A","2010",12.1192648489163,13.838,2
"ES0691A","2010",48.0254854616229,45.621,2
"ES0774A","2010",4.49411537957288,4.399,2
"ES0787A","2010",10.0052951639495,3.558,2
"ES0812A","2010",5.07779257621745,3.063,2
"ES0813A","2010",4.69888917926222,1.617,2
"ES0817A","2010",31.1051269368372,33.811,2
"ES0825A","2010",24.0054252561539,21.794,2
"ES1018A","2010",40.6823994763835,49.383,2
"ES1074A","2010",25.0191511629729,12.962,2
"ES1123A","2010",19.712437557457,16.752,2
"ES1126A","2010",33.1467087899671,43.216,2
"ES1130A","2010",13.804069088667,12.801,2
"ES1137A","2010",25.3675944362513,24.744,2
"ES1163A","2010",16.3213136040172,18.247,2
"ES1182A","2010",26.3790634606689,17.476,2
"ES1234A","2010",12.5429656107754,31.045,2
"ES1269A","2010",27.1650530945093,35.592,2
"ES1271A","2010",25.2289683329836,32.764,2
"ES1272A","2010",26.7542932080075,34.419,2
"ES1275A","2010",28.9904013210666,31.189,2
"ES1297A","2010",15.3253601591449,11.349,2
"ES1348A","2010",11.1154573085672,7.387,2
"ES1353A","2010",18.4456152606337,22.18,2
"ES1363A","2010",28.584294504196,30.942,2
